system_number,oxford_part_id,call_numbers,library_code,,,,titles_non_placeholder
990052097390205171,,T-S AS 127.219,CUL,,,,
990052097520205171,,T-S AS 128.2,CUL,,,,
990052099970205171,,T-S AS 128.247,CUL,,,,
990052100050205171,,T-S AS 128.255,CUL,,,,
990052100320205171,,T-S AS 128.282,CUL,,,,
990052100450205171,,T-S AS 129.5,CUL,,,,
990052100490205171,,T-S AS 129.9,CUL,,,,
990052100590205171,,T-S AS 129.19,CUL,,,,
990052100620205171,,T-S AS 129.22,CUL,,,,
990052101060205171,,T-S AS 129.66,CUL,,,,
990052101220205171,,T-S AS 129.82,CUL,,,,
990052101480205171,,T-S AS 129.108,CUL,,,,
990052101490205171,,T-S AS 129.109,CUL,,,,
990052101510205171,,T-S AS 129.111,CUL,,,,
990052101580205171,,T-S AS 129.118,CUL,,,,
990052101980205171,,T-S AS 129.158,CUL,,,,
990052102450205171,,T-S AS 129.205,CUL,,,,
990052102650205171,,T-S AS 129.225,CUL,,,,
990052102660205171,,T-S AS 129.226,CUL,,,,
990052102720205171,,T-S AS 129.232,CUL,,,,
990052102730205171,,T-S AS 129.233,CUL,,,,
990052102950205171,,T-S AS 129.255,CUL,,,,
990052102970205171,,T-S AS 129.257,CUL,,,,
990052102980205171,,T-S AS 129.258,CUL,,,,
990052103010205171,,T-S AS 129.261,CUL,,,,
990052103240205171,,T-S AS 130.21,CUL,,,,
990052103350205171,,T-S AS 130.32,CUL,,,,
990052103550205171,,T-S AS 130.52,CUL,,,,
990052103620205171,,T-S AS 130.59,CUL,,,,
990052103630205171,,T-S AS 130.60,CUL,,,,
990052103640205171,,T-S AS 130.61,CUL,,,,
990052103830205171,,T-S AS 130.80,CUL,,,,
990052104280205171,,T-S AS 130.125,CUL,,,,
990052104580205171,,T-S AS 130.155,CUL,,,,
990052104640205171,,T-S AS 130.161,CUL,,,,
990052104780205171,,T-S AS 130.175,CUL,,,,
990052104830205171,,T-S AS 130.180,CUL,,,,
990052104930205171,,T-S AS 130.190,CUL,,,,
990052105180205171,,T-S AS 130.215,CUL,,,,
990052105200205171,,T-S AS 130.217,CUL,,,,
990052105580205171,,T-S AS 130.255,CUL,,,,
990052105620205171,,T-S AS 130.259,CUL,,,,
990052105720205171,,T-S AS 130.269,CUL,,,,
990052105780205171,,T-S AS 130.275,CUL,,,,
990052105820205171,,T-S AS 130.279,CUL,,,,
990052105920205171,,T-S AS 130.289,CUL,,,,
990052105960205171,,T-S AS 130.293,CUL,,,,
990052106000205171,,T-S AS 130.297,CUL,,,,
990052106190205171,,T-S AS 130.316,CUL,,,,
990052106210205171,,T-S AS 130.318,CUL,,,,
990052106280205171,,T-S AS 130.325,CUL,,,,
990052106290205171,,T-S AS 130.326,CUL,,,,
990052106310205171,,T-S AS 130.328,CUL,,,,
990052106320205171,,T-S AS 130.329,CUL,,,,
990052106340205171,,T-S AS 130.331,CUL,,,,
990052106400205171,,T-S AS 131.6,CUL,,,,
990052106620205171,,T-S AS 131.28,CUL,,,,
990052106840205171,,T-S AS 131.50,CUL,,,,
990052107190205171,,T-S AS 131.85,CUL,,,,
990052107540205171,,T-S AS 131.120,CUL,,,,
990052107620205171,,T-S AS 131.128,CUL,,,,
990052107740205171,,T-S AS 131.140,CUL,,,,
990052107760205171,,T-S AS 131.142,CUL,,,,
990052108260205171,,T-S AS 131.192,CUL,,,,
990052108300205171,,T-S AS 131.196,CUL,,,,
990052108590205171,,T-S AS 132.22,CUL,,,,
990052109650205171,,T-S AS 132.128,CUL,,,,
990052110100205171,,T-S AS 132.173,CUL,,,,
990052110380205171,,T-S AS 132.201,CUL,,,,
990052110750205171,,T-S AS 132.238,CUL,,,,
990052110770205171,,T-S AS 132.240,CUL,,,,
990052111100205171,,T-S AS 133.7,CUL,,,,
990052111380205171,,T-S AS 133.35,CUL,,,,
990052111620205171,,T-S AS 133.59,CUL,,,,
990052112010205171,,T-S AS 133.98,CUL,,,,תלמוד בבלי [טקסט]
990052112100205171,,T-S AS 133.107,CUL,,,,
990052112170205171,,T-S AS 133.114,CUL,,,,
990052113220205171,,T-S AS 133.219,CUL,,,,
990052113380205171,,T-S AS 133.235,CUL,,,,
990052113490205171,,T-S AS 133.246,CUL,,,,
990052113520205171,,T-S AS 133.249,CUL,,,,
990052113540205171,,T-S AS 133.251,CUL,,,,
990052113860205171,,T-S AS 133.283,CUL,,,,
990052113900205171,,T-S AS 133.287,CUL,,,,
990052114560205171,,T-S AS 134.48,CUL,,,,
990052114890205171,,T-S AS 134.81,CUL,,,,
990052114950205171,,T-S AS 134.87,CUL,,,,
990052114960205171,,T-S AS 134.88,CUL,,,,
990052114970205171,,T-S AS 134.89,CUL,,,,
990052114980205171,,T-S AS 134.90,CUL,,,,
990052115000205171,,T-S AS 134.92,CUL,,,,
990052115420205171,,T-S AS 134.134,CUL,,,,
990052115470205171,,T-S AS 134.139,CUL,,,,
990052115820205171,,T-S AS 134.174,CUL,,,,
990052116130205171,,T-S AS 134.205,CUL,,,,
990052116210205171,,T-S AS 134.213,CUL,,,,
990052116330205171,,T-S AS 134.225,CUL,,,,
990052116530205171,,T-S AS 134.245,CUL,,,,
990052117010205171,,T-S AS 135.10,CUL,,,,
990052117310205171,,T-S AS 135.40,CUL,,,,
990052117600205171,,T-S AS 135.69,CUL,,,,
990052117640205171,,T-S AS 135.73,CUL,,,,
990052117680205171,,T-S AS 135.77,CUL,,,,
990052117740205171,,T-S AS 135.83,CUL,,,,
990052117900205171,,T-S AS 135.99,CUL,,,,
990052118470205171,,T-S AS 135.156,CUL,,,,
990052118490205171,,T-S AS 135.158,CUL,,,,
990052118830205171,,T-S AS 135.192,CUL,,,,
990052118890205171,,T-S AS 135.198,CUL,,,,
990052118910205171,,T-S AS 135.200,CUL,,,,
990052118960205171,,T-S AS 135.205,CUL,,,,
990052118970205171,,T-S AS 135.206,CUL,,,,
990052119020205171,,T-S AS 135.211,CUL,,,,
990052119090205171,,T-S AS 135.218,CUL,,,,
990052119320205171,,T-S AS 135.241,CUL,,,,
990052119380205171,,T-S AS 135.247,CUL,,,,
990052119600205171,,T-S AS 135.269,CUL,,,,
990052119620205171,,T-S AS 135.271,CUL,,,,
990052119630205171,,T-S AS 135.272,CUL,,,,
990052119650205171,,T-S AS 135.274,CUL,,,,
990052119660205171,,T-S AS 135.275,CUL,,,,
990052119700205171,,T-S AS 135.279,CUL,,,,
990052119840205171,,T-S AS 135.293,CUL,,,,
990052119930205171,,T-S AS 135.302,CUL,,,,
990052120160205171,,T-S AS 135.325,CUL,,,,
990052120320205171,,T-S AS 136.9,CUL,,,,
990052120530205171,,T-S AS 136.30,CUL,,,,
990052120700205171,,T-S AS 136.47,CUL,,,,
990052120780205171,,T-S AS 136.55,CUL,,,,
990052120790205171,,T-S AS 136.56,CUL,,,,
990052121310205171,,T-S AS 136.108,CUL,,,,
990052121380205171,,T-S AS 136.115,CUL,,,,
990052121630205171,,T-S AS 136.140,CUL,,,,
990052121720205171,,T-S AS 136.149,CUL,,,,
990052121790205171,,T-S AS 136.156,CUL,,,,
990052121880205171,,T-S AS 136.165,CUL,,,,
990052122030205171,,T-S AS 136.180,CUL,,,,
990052122240205171,,T-S AS 136.201,CUL,,,,
990052122330205171,,T-S AS 136.210,CUL,,,,
990052122340205171,,T-S AS 136.211,CUL,,,,
990052123080205171,,T-S AS 136.285,CUL,,,,
990052123520205171,,T-S AS 136.329,CUL,,,,
990052124130205171,,T-S AS 136.390,CUL,,,,
990052124240205171,,T-S AS 136.401,CUL,,,,
990052124320205171,,T-S AS 137.2,CUL,,,,
990052124340205171,,T-S AS 137.4,CUL,,,,
990052124360205171,,T-S AS 137.6,CUL,,,,
990052124410205171,,T-S AS 137.11,CUL,,,,
990052124520205171,,T-S AS 137.22,CUL,,,,
990052124610205171,,T-S AS 137.31,CUL,,,,
990052124780205171,,T-S AS 137.48,CUL,,,,
990052124910205171,,T-S AS 137.61,CUL,,,,
990052125080205171,,T-S AS 137.78,CUL,,,,
990052125110205171,,T-S AS 137.81,CUL,,,,
990052125480205171,,T-S AS 137.118,CUL,,,,
990052125830205171,,T-S AS 137.153,CUL,,,,
990052125840205171,,T-S AS 137.154,CUL,,,,
990052126330205171,,T-S AS 137.203,CUL,,,,
990052126360205171,,T-S AS 137.206,CUL,,,,
990052126370205171,,T-S AS 137.207,CUL,,,,
990052126490205171,,T-S AS 137.219,CUL,,,,
990052126660205171,,T-S AS 137.236,CUL,,,,
990052126800205171,,T-S AS 137.250,CUL,,,,
990052126860205171,,T-S AS 137.256,CUL,,,,
990052127220205171,,T-S AS 137.292,CUL,,,,
990052127520205171,,T-S AS 137.322,CUL,,,,
990052127640205171,,T-S AS 137.334,CUL,,,,
990052127670205171,,T-S AS 137.337,CUL,,,,
990052127730205171,,T-S AS 137.343,CUL,,,,
990052127920205171,,T-S AS 137.362,CUL,,,,
990052128180205171,,T-S AS 137.388,CUL,,,,
990052128190205171,,T-S AS 137.389,CUL,,,,
990052128220205171,,T-S AS 137.392,CUL,,,,
990052128300205171,,T-S AS 137.400,CUL,,,,
990052128380205171,,T-S AS 137.408,CUL,,,,
990052128440205171,,T-S AS 137.414,CUL,,,,
990052128520205171,,T-S AS 137.422,CUL,,,,
990052128730205171,,T-S AS 137.443,CUL,,,,
990052128770205171,,T-S AS 137.447,CUL,,,,
990052128810205171,,T-S AS 137.451,CUL,,,,
990052128910205171,,T-S AS 138.3,CUL,,,,
990052129120205171,,T-S AS 138.24,CUL,,,,
990052129250205171,,T-S AS 138.37,CUL,,,,
990052129260205171,,T-S AS 138.38,CUL,,,,
990052129340205171,,T-S AS 138.46,CUL,,,,
990052129380205171,,T-S AS 138.50,CUL,,,,
990052129410205171,,T-S AS 138.53,CUL,,,,
990052129620205171,,T-S AS 138.74,CUL,,,,
990052129630205171,,T-S AS 138.75,CUL,,,,
990052129640205171,,T-S AS 138.76,CUL,,,,
990052129730205171,,T-S AS 138.85,CUL,,,,
990052129740205171,,T-S AS 138.86,CUL,,,,
990052129780205171,,T-S AS 138.90,CUL,,,,
990052129910205171,,T-S AS 138.103,CUL,,,,
990052129940205171,,T-S AS 138.106,CUL,,,,
990052130090205171,,T-S AS 138.121,CUL,,,,
990052130150205171,,T-S AS 138.127,CUL,,,,
990052130190205171,,T-S AS 138.131,CUL,,,,
990052130320205171,,T-S AS 138.144,CUL,,,,
990052130330205171,,T-S AS 138.145,CUL,,,,
990052130380205171,,T-S AS 138.150,CUL,,,,
990052130410205171,,T-S AS 138.153,CUL,,,,
990052130420205171,,T-S AS 138.154,CUL,,,,
990052130910205171,,T-S AS 139.48,CUL,,,,ספר תאגי
990052130930205171,,T-S AS 139.50,CUL,,,,ספר תאגי
990052131420205171,,T-S AS 139.99,CUL,,,,ספר תאגי
990052132220205171,,T-S AS 140.6c,CUL,,,,כתאב אלאצול
990052132730205171,,T-S AS 140.45b,CUL,,,,
990052132940205171,,T-S AS 140.58d,CUL,,,,
990052132950205171,,T-S AS 140.58e,CUL,,,,
990052133010205171,,T-S AS 140.61b,CUL,,,,
990052133100205171,,T-S AS 140.68,CUL,,,,
990052133260205171,,T-S AS 140.80,CUL,,,,
990052133630205171,,T-S AS 141.1c,CUL,,,,
990052133830205171,,T-S AS 141.10b,CUL,,,,כתאב אלאצול
990052134090205171,,T-S AS 141.26c,CUL,,,,
990052134310205171,,T-S AS 141.44c,CUL,,,,
990052134350205171,,T-S AS 141.45c,CUL,,,,
990052134530205171,,T-S AS 141.61,CUL,,,,
990052134750205171,,T-S AS 141.77,CUL,,,,
990052135760205171,,T-S AS 142.98,CUL,,,,זוהר
990052135960205171,,T-S AS 142.118,CUL,,,,זוהר
990052136060205171,,T-S AS 142.128,CUL,,,,זוהר
990052136780205171,,T-S AS 142.200,CUL,,,,זוהר
990052136840205171,,T-S AS 142.206,CUL,,,,זוהר
990052137220205171,,T-S AS 142.244a,CUL,,,,זוהר
990052137230205171,,T-S AS 142.244b,CUL,,,,זוהר
990052137240205171,,T-S AS 142.244c,CUL,,,,זוהר
990052137390205171,,T-S AS 142.244r,CUL,,,,זוהר
990052137440205171,,T-S AS 142.246,CUL,,,,
990052137540205171,,T-S AS 142.256,CUL,,,,זוהר
990052137630205171,,T-S AS 143.3,CUL,,,,זוהר
990052138030205171,,T-S AS 143.43,CUL,,,,זוהר
990052138160205171,,T-S AS 143.56,CUL,,,,זוהר
990052138180205171,,T-S AS 143.58,CUL,,,,זוהר
990052138340205171,,T-S AS 143.74,CUL,,,,זוהר
990052138840205171,,T-S AS 143.124,CUL,,,,
990052138860205171,,T-S AS 143.126,CUL,,,,זוהר
990052139140205171,,T-S AS 143.154,CUL,,,,זוהר
990052139240205171,,T-S AS 143.164,CUL,,,,זוהר
990052139470205171,,T-S AS 143.187,CUL,,,,זוהר
990052139510205171,,T-S AS 143.191,CUL,,,,זוהר
990052139520205171,,T-S AS 143.192,CUL,,,,זוהר
990052139620205171,,T-S AS 143.202,CUL,,,,זוהר
990052139680205171,,T-S AS 143.208,CUL,,,,זוהר
990052140170205171,,T-S AS 143.257,CUL,,,,זוהר
990052140690205171,,T-S AS 143.309,CUL,,,,זוהר
990052141310205171,,T-S AS 143.371,CUL,,,,זוהר
990052141400205171,,T-S AS 143.380,CUL,,,,זוהר
990052141420205171,,T-S AS 143.382,CUL,,,,זוהר
990052141440205171,,T-S AS 143.384,CUL,,,,זוהר
990052141450205171,,T-S AS 143.385,CUL,,,,זוהר
990052141550205171,,T-S AS 143.395,CUL,,,,זוהר
990052141590205171,,T-S AS 143.399,CUL,,,,זוהר
990052141790205171,,T-S AS 143.419,CUL,,,,זוהר
990052141810205171,,T-S AS 143.421,CUL,,,,זוהר
990052141970205171,,T-S AS 143.437,CUL,,,,זוהר
990052142000205171,,T-S AS 143.440,CUL,,,,זוהר
990052142290205171,,T-S AS 144.21,CUL,,,,
990052142330205171,,T-S AS 144.25,CUL,,,,
990052142440205171,,T-S AS 144.36,CUL,,,,
990052142640205171,,T-S AS 144.56,CUL,,,,
990052142930205171,,T-S AS 144.85,CUL,,,,
990052142940205171,,T-S AS 144.86,CUL,,,,
990052143060205171,,T-S AS 144.98,CUL,,,,
990052143080205171,,T-S AS 144.100,CUL,,,,
990052143240205171,,T-S AS 144.116,CUL,,,,
990052143770205171,,T-S AS 144.169,CUL,,,,שרח פצול אבוקראט
990052144060205171,,T-S AS 144.198,CUL,,,,
990052144080205171,,T-S AS 144.200,CUL,,,,
990052144140205171,,T-S AS 144.206,CUL,,,,
990052144190205171,,T-S AS 144.211,CUL,,,,
990052144210205171,,T-S AS 144.213,CUL,,,,
990052144250205171,,T-S AS 144.217,CUL,,,,
990052144370205171,,T-S AS 144.229,CUL,,,,
990052144420205171,,T-S AS 144.234,CUL,,,,
990052144650205171,,T-S AS 144.257,CUL,,,,
990052144840205171,,T-S AS 144.276,CUL,,,,
990052144930205171,,T-S AS 144.285,CUL,,,,
990052144980205171,,T-S AS 144.290,CUL,,,,
990052145090205171,,T-S AS 144.301,CUL,,,,
990052145100205171,,T-S AS 144.302,CUL,,,,
990052145930205171,,T-S AS 145.54,CUL,,,,
990052145970205171,,T-S AS 145.58,CUL,,,,
990052146010205171,,T-S AS 145.62,CUL,,,,
990052146160205171,,T-S AS 145.77,CUL,,,,
990052146420205171,,T-S AS 145.103,CUL,,,,
990052146550205171,,T-S AS 145.116,CUL,,,,
990052146580205171,,T-S AS 145.119,CUL,,,,
990052146600205171,,T-S AS 145.121,CUL,,,,
990052146610205171,,T-S AS 145.122,CUL,,,,
990052146770205171,,T-S AS 145.138,CUL,,,,
990052146880205171,,T-S AS 145.149,CUL,,,,
990052146950205171,,T-S AS 145.156,CUL,,,,
990052146980205171,,T-S AS 145.159,CUL,,,,
990052147010205171,,T-S AS 145.162,CUL,,,,
990052147020205171,,T-S AS 145.163,CUL,,,,
990052147140205171,,T-S AS 145.175,CUL,,,,
990052147190205171,,T-S AS 145.180,CUL,,,,
990052147220205171,,T-S AS 145.183,CUL,,,,
990052147410205171,,T-S AS 145.202,CUL,,,,
990052147440205171,,T-S AS 145.205,CUL,,,,
990052147470205171,,T-S AS 145.208,CUL,,,,
990052147680205171,,T-S AS 145.229,CUL,,,,
990052147730205171,,T-S AS 145.234,CUL,,,,
990052147980205171,,T-S AS 145.259,CUL,,,,
990052148010205171,,T-S AS 145.262,CUL,,,,
990052148070205171,,T-S AS 145.268,CUL,,,,
990052148090205171,,T-S AS 145.270,CUL,,,,
990052148110205171,,T-S AS 145.272,CUL,,,,
990052148120205171,,T-S AS 145.273,CUL,,,,
990052148230205171,,T-S AS 145.284,CUL,,,,
990052148250205171,,T-S AS 145.286,CUL,,,,
990052148410205171,,T-S AS 145.302,CUL,,,,
990052148430205171,,T-S AS 145.304,CUL,,,,
990052148570205171,,T-S AS 145.318,CUL,,,,
990052148630205171,,T-S AS 145.324,CUL,,,,
990052148640205171,,T-S AS 145.325,CUL,,,,
990052148710205171,,T-S AS 145.332,CUL,,,,
990052148770205171,,T-S AS 145.338,CUL,,,,
990052148800205171,,T-S AS 145.341,CUL,,,,
990052148870205171,,T-S AS 145.348,CUL,,,,
990052149010205171,,T-S AS 145.362,CUL,,,,
990052149030205171,,T-S AS 145.364,CUL,,,,
990052149060205171,,T-S AS 145.367,CUL,,,,
990052149090205171,,T-S AS 145.370,CUL,,,,
990052149190205171,,T-S AS 145.380,CUL,,,,
990052149380205171,,T-S AS 145.399,CUL,,,,
990052149410205171,,T-S AS 145.minute fragments,CUL,,,,
990052149470205171,,T-S AS 146.6,CUL,,,,
990052149570205171,,T-S AS 146.16,CUL,,,,
990052149700205171,,T-S AS 146.29,CUL,,,,
990052149920205171,,T-S AS 146.51,CUL,,,,
990052150040205171,,T-S AS 146.63,CUL,,,,
990052150070205171,,T-S AS 146.66,CUL,,,,
990052150220205171,,T-S AS 146.80,CUL,,,,
990052150250205171,,T-S AS 146.83,CUL,,,,
990052150410205171,,T-S AS 146.99,CUL,,,,
990052150540205171,,T-S AS 146.112,CUL,,,,
990052150550205171,,T-S AS 146.113,CUL,,,,
990052150730205171,,T-S AS 146.131,CUL,,,,
990052150850205171,,T-S AS 146.143,CUL,,,,
990052150930205171,,T-S AS 146.151,CUL,,,,
990052150970205171,,T-S AS 146.155,CUL,,,,
990052151200205171,,T-S AS 146.178,CUL,,,,
990052151290205171,,T-S AS 146.187,CUL,,,,
990052151360205171,,T-S AS 146.194,CUL,,,,
990052151370205171,,T-S AS 146.195,CUL,,,,
990052151440205171,,T-S AS 146.202,CUL,,,,
990052151540205171,,T-S AS 146.212,CUL,,,,
990052151570205171,,T-S AS 146.215,CUL,,,,
990052151580205171,,T-S AS 146.216,CUL,,,,
990052151640205171,,T-S AS 146.222,CUL,,,,
990052151820205171,,T-S AS 146.240,CUL,,,,
990052151840205171,,T-S AS 146.242,CUL,,,,
990052151890205171,,T-S AS 146.247,CUL,,,,
990052151920205171,,T-S AS 146.250,CUL,,,,
990052151930205171,,T-S AS 146.251,CUL,,,,
990052152060205171,,T-S AS 146.264,CUL,,,,
990052152170205171,,T-S AS 146.275,CUL,,,,
990052152200205171,,T-S AS 146.278,CUL,,,,
990052152400205171,,T-S AS 146.298,CUL,,,,
990052152430205171,,T-S AS 146.301,CUL,,,,
990052152500205171,,T-S AS 146.308,CUL,,,,
990052152510205171,,T-S AS 146.309,CUL,,,,
990052152550205171,,T-S AS 146.313,CUL,,,,
990052152580205171,,T-S AS 146.316,CUL,,,,
990052152600205171,,T-S AS 146.318,CUL,,,,
990052152820205171,,T-S AS 146.340,CUL,,,,
990052153030205171,,T-S AS 146.361,CUL,,,,
990052153070205171,,T-S AS 146.365,CUL,,,,
990052153140205171,,T-S AS 146.372,CUL,,,,
990052153170205171,,T-S AS 146.375,CUL,,,,
990052153210205171,,T-S AS 146.379,CUL,,,,
990052153220205171,,T-S AS 146.380,CUL,,,,
990052153250205171,,T-S AS 146.383,CUL,,,,
990052153270205171,,T-S AS 146.385,CUL,,,,
990052153290205171,,T-S AS 146.387,CUL,,,,
990052153300205171,,T-S AS 146.388,CUL,,,,
990052153360205171,,T-S AS 146.394,CUL,,,,
990052153410205171,,T-S AS 146.399,CUL,,,,
990052153420205171,,T-S AS 146.400,CUL,,,,
990052153460205171,,T-S AS 146.404,CUL,,,,
990052153610205171,,T-S AS 146.419,CUL,,,,
990052153640205171,,T-S AS 146.422,CUL,,,,
990052153680205171,,T-S AS 146.426,CUL,,,,
990052153690205171,,T-S AS 146.427,CUL,,,,
990052153710205171,,T-S AS 146.429,CUL,,,,
990052153730205171,,T-S AS 146.431,CUL,,,,
990052153740205171,,T-S AS 146.432,CUL,,,,
990052153860205171,,T-S AS 146.444,CUL,,,,
990052153940205171,,T-S AS 146.452,CUL,,,,
990052154030205171,,T-S AS 146.minute fragments,CUL,,,,
990052154530205171,,T-S AS 147.49,CUL,,,,
990052155370205171,,T-S AS 147.133,CUL,,,,
990052155620205171,,T-S AS 147.158,CUL,,,,
990052155880205171,,T-S AS 147.184,CUL,,,,
990052155890205171,,T-S AS 147.185,CUL,,,,
990052156140205171,,T-S AS 147.210,CUL,,,,
990052156450205171,,T-S AS 147.241,CUL,,,,
990052156470205171,,T-S AS 147.243,CUL,,,,
990052156590205171,,T-S AS 147.255,CUL,,,,
990052156640205171,,T-S AS 147.260,CUL,,,,
990052156820205171,,T-S AS 147.278,CUL,,,,
990052156990205171,,T-S AS 147.minute fragments,CUL,,,,
990052157050205171,,T-S AS 148.6,CUL,,,,
990052157090205171,,T-S AS 148.10,CUL,,,,
990052157100205171,,T-S AS 148.11,CUL,,,,
990052157360205171,,T-S AS 148.34,CUL,,,,
990052157620205171,,T-S AS 148.60,CUL,,,,
990052157700205171,,T-S AS 148.68,CUL,,,,
990052157710205171,,T-S AS 148.69,CUL,,,,
990052157720205171,,T-S AS 148.70,CUL,,,,
990052157750205171,,T-S AS 148.73,CUL,,,,
990052157890205171,,T-S AS 148.87,CUL,,,,
990052157930205171,,T-S AS 148.91,CUL,,,,
990052158010205171,,T-S AS 148.99,CUL,,,,
990052158020205171,,T-S AS 148.100,CUL,,,,
990052158060205171,,T-S AS 148.104,CUL,,,,
990052158070205171,,T-S AS 148.105,CUL,,,,
990052158080205171,,T-S AS 148.106,CUL,,,,
990052158120205171,,T-S AS 148.110,CUL,,,,
990052158250205171,,T-S AS 148.123,CUL,,,,
990052158320205171,,T-S AS 148.130,CUL,,,,
990052158520205171,,T-S AS 148.150,CUL,,,,
990052158540205171,,T-S AS 148.152,CUL,,,,
990052158550205171,,T-S AS 148.153,CUL,,,,
990052158560205171,,T-S AS 148.154,CUL,,,,
990052158570205171,,T-S AS 148.155,CUL,,,,
990052158630205171,,T-S AS 148.161,CUL,,,,
990052158650205171,,T-S AS 148.163,CUL,,,,
990052158780205171,,T-S AS 148.176,CUL,,,,
990052158870205171,,T-S AS 148.185,CUL,,,,
990052158880205171,,T-S AS 148.186,CUL,,,,
990052158900205171,,T-S AS 148.188,CUL,,,,
990052158910205171,,T-S AS 148.189,CUL,,,,
990052158920205171,,T-S AS 148.190,CUL,,,,
990052158960205171,,T-S AS 148.194,CUL,,,,
990052158980205171,,T-S AS 148.196,CUL,,,,
990052159030205171,,T-S AS 148.201,CUL,,,,
990052159090205171,,T-S AS 148.207,CUL,,,,
990052159110205171,,T-S AS 148.209,CUL,,,,
990052159120205171,,T-S AS 148.210,CUL,,,,
990052159210205171,,T-S AS 148.minute fragments,CUL,,,,תלמוד בבלי [טקסט]
990052159470205171,,T-S AS 149.26,CUL,,,,
990052159540205171,,T-S AS 149.33,CUL,,,,
990052159570205171,,T-S AS 149.36,CUL,,,,
990052159620205171,,T-S AS 149.41,CUL,,,,
990052159770205171,,T-S AS 149.56,CUL,,,,
990052160210205171,,T-S AS 149.100,CUL,,,,
990052160270205171,,T-S AS 149.106,CUL,,,,
990052160300205171,,T-S AS 149.109,CUL,,,,
990052160390205171,,T-S AS 149.118,CUL,,,,
990052160580205171,,T-S AS 149.137,CUL,,,,
990052161150205171,,T-S AS 149.194,CUL,,,,
990052161200205171,,T-S AS 149.199,CUL,,,,
990052161280205171,,T-S AS 149.207,CUL,,,,
990052161340205171,,T-S AS 149.213,CUL,,,,
990052161410205171,,T-S AS 149.220,CUL,,,,
990052161620205171,,T-S AS 149.241,CUL,,,,
990052161860205171,,T-S AS 149.265,CUL,,,,
990052161870205171,,T-S AS 149.266,CUL,,,,
990052161900205171,,T-S AS 149.269,CUL,,,,
990052161920205171,,T-S AS 149.minute fragments,CUL,,,,
990052162080205171,,T-S AS 150.16,CUL,,,,
990052162450205171,,T-S AS 150.53,CUL,,,,
990052162610205171,,T-S AS 150.69,CUL,,,,
990052162850205171,,T-S AS 150.93,CUL,,,,
990052162940205171,,T-S AS 150.102,CUL,,,,
990052163190205171,,T-S AS 150.127,CUL,,,,
990052163220205171,,T-S AS 150.130,CUL,,,,
990052163240205171,,T-S AS 150.132,CUL,,,,
990052163330205171,,T-S AS 150.141,CUL,,,,
990052163560205171,,T-S AS 150.164,CUL,,,,
990052163660205171,,T-S AS 150.174,CUL,,,,
990052163840205171,,T-S AS 150.192,CUL,,,,
990052163930205171,,T-S AS 150.201,CUL,,,,
990052164000205171,,T-S AS 150.208,CUL,,,,
990052164070205171,,T-S AS 150.215,CUL,,,,
990052164130205171,,T-S AS 150.221,CUL,,,,
990052164290205171,,T-S AS 150.minute fragments,CUL,,,,
990052164570205171,,T-S AS 151.28,CUL,,,,
990052164660205171,,T-S AS 151.37,CUL,,,,
990052164720205171,,T-S AS 151.43,CUL,,,,
990052165020205171,,T-S AS 151.73,CUL,,,,
990052165030205171,,T-S AS 151.74,CUL,,,,
990052165500205171,,T-S AS 151.121,CUL,,,,
990052166190205171,,T-S AS 151.190,CUL,,,,
990052166560205171,,T-S AS 151.227,CUL,,,,
990052166720205171,,T-S AS 151.243,CUL,,,,
990052166760205171,,T-S AS 151.247,CUL,,,,
990052166790205171,,T-S AS 151.250,CUL,,,,
990052166930205171,,T-S AS 151.264,CUL,,,,
990052167070205171,,T-S AS 151.278,CUL,,,,
990052167180205171,,T-S AS 151.289,CUL,,,,
990052167290205171,,T-S AS 151.300,CUL,,,,
990052167360205171,,T-S AS 151.minute fragments,CUL,,,,
990052167680205171,,T-S AS 152.32,CUL,,,,
990052167790205171,,T-S AS 152.43,CUL,,,,
990052168060205171,,T-S AS 152.70,CUL,,,,
990052168120205171,,T-S AS 152.76,CUL,,,,
990052168280205171,,T-S AS 152.92,CUL,,,,
990052168290205171,,T-S AS 152.93,CUL,,,,
990052168310205171,,T-S AS 152.95,CUL,,,,
990052168470205171,,T-S AS 152.111,CUL,,,,
990052168550205171,,T-S AS 152.119,CUL,,,,
990052168660205171,,T-S AS 152.130,CUL,,,,
990052168680205171,,T-S AS 152.132,CUL,,,,
990052168690205171,,T-S AS 152.133,CUL,,,,
990052168700205171,,T-S AS 152.134,CUL,,,,
990052168740205171,,T-S AS 152.138,CUL,,,,
990052168750205171,,T-S AS 152.139,CUL,,,,
990052168960205171,,T-S AS 152.160,CUL,,,,
990052169130205171,,T-S AS 152.177,CUL,,,,
990052169230205171,,T-S AS 152.187,CUL,,,,
990052169240205171,,T-S AS 152.188,CUL,,,,
990052169480205171,,T-S AS 152.212,CUL,,,,
990052169490205171,,T-S AS 152.213,CUL,,,,
990052169650205171,,T-S AS 152.229,CUL,,,,
990052169740205171,,T-S AS 152.238,CUL,,,,
990052169830205171,,T-S AS 152.247,CUL,,,,
990052169970205171,,T-S AS 152.261,CUL,,,,
990052169990205171,,T-S AS 152.263,CUL,,,,
990052170160205171,,T-S AS 152.280,CUL,,,,
990052170240205171,,T-S AS 152.288,CUL,,,,
990052170380205171,,T-S AS 152.302,CUL,,,,
